dataActualitzacioWeb,dataCaptura,horaCaptura,PacientsNivell1,PacientsNivell2,PacientsNivell3,PacientsNivell4,tempsEsperaAdults,tempsEsperaPediatrics
"Dimecres, 11 d'abril de 2018 a les 21'16h",2018-04-11,21:16, 0, 4, 8, 11, 1h. 24min., 1h. 0min.
"Dimecres, 11 d'abril de 2018 a les 21'21h",2018-04-11,21:21, 0, 4, 8, 12, 1h. 24min., 1h. 0min.
"Dimecres, 11 d'abril de 2018 a les 21'26h",2018-04-11,21:26, 0, 4, 8, 9, 0h. 51min., 1h. 15min.
"Dimecres, 11 d'abril de 2018 a les 21'31h",2018-04-11,21:31, 0, 4, 8, 10, 1h. 14min., 1h. 15min.
"Dimecres, 11 d'abril de 2018 a les 21'36h",2018-04-11,21:36, 0, 4, 8, 12, 1h. 14min., 1h. 15min.
"Dimecres, 11 d'abril de 2018 a les 21'41h",2018-04-11,21:41, 0, 4, 7, 13, 1h. 14min., 1h. 15min.
"Dimecres, 11 d'abril de 2018 a les 21'46h",2018-04-11,21:46, 0, 4, 7, 12, 0h. 33min., 1h. 15min.
"Dimecres, 11 d'abril de 2018 a les 21'51h",2018-04-11,21:51, 0, 4, 8, 10, 0h. 34min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 21'56h",2018-04-11,21:56, 0, 4, 9, 8, 0h. 39min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'01h",2018-04-11,22:1, 0, 4, 9, 9, 0h. 39min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'06h",2018-04-11,22:6, 0, 4, 9, 10, 1h. 44min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'11h",2018-04-11,22:11, 0, 4, 9, 10, 1h. 44min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'16h",2018-04-11,22:16, 0, 4, 10, 9, 0h. 30min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'21h",2018-04-11,22:21, 0, 4, 9, 9, 0h. 34min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'26h",2018-04-11,22:26, 0, 4, 8, 9, 0h. 34min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'31h",2018-04-11,22:31, 0, 4, 7, 10, 0h. 34min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'36h",2018-04-11,22:36, 0, 4, 8, 10, 0h. 34min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'41h",2018-04-11,22:41, 0, 4, 8, 9, 0h. 53min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'46h",2018-04-11,22:46, 0, 2, 8, 9, 1h. 7min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'51h",2018-04-11,22:51, 0, 2, 8, 9, 1h. 7min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 22'56h",2018-04-11,22:56, 0, 2, 8, 11, 1h. 7min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 23'01h",2018-04-11,23:1, 0, 2, 7, 12, 1h. 15min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 23'06h",2018-04-11,23:6, 0, 2, 8, 12, 1h. 15min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 23'11h",2018-04-11,23:11, 0, 2, 9, 12, 1h. 15min., 1h. 16min.
"Dimecres, 11 d'abril de 2018 a les 23'16h",2018-04-11,23:16, 0, 2, 8, 10, 0h. 56min., 1h. 2min.
"Dimecres, 11 d'abril de 2018 a les 23'21h",2018-04-11,23:21, 0, 2, 8, 9, 0h. 55min., 1h. 2min.
"Dimecres, 11 d'abril de 2018 a les 23'26h",2018-04-11,23:26, 0, 2, 7, 10, 0h. 55min., 1h. 2min.
"Dimecres, 11 d'abril de 2018 a les 23'31h",2018-04-11,23:31, 0, 2, 7, 8, 0h. 29min., 0h. 38min.
"Dimecres, 11 d'abril de 2018 a les 23'36h",2018-04-11,23:36, 0, 2, 7, 8, 0h. 29min., 0h. 38min.
"Dimecres, 11 d'abril de 2018 a les 23'41h",2018-04-11,23:41, 0, 2, 8, 6, 0h. 31min., 0h. 12min.
"Dimecres, 11 d'abril de 2018 a les 23'46h",2018-04-11,23:46, 0, 2, 8, 5, 0h. 33min., 0h. 12min.
"Dimecres, 11 d'abril de 2018 a les 23'51h",2018-04-11,23:51, 0, 2, 8, 4, 0h. 26min., 0h. 12min.
"Dimecres, 11 d'abril de 2018 a les 23'56h",2018-04-11,23:56, 0, 2, 8, 4, 0h. 26min., 0h. 12min.
